name,lat,long
Admiralty Primary School,1.4426347903311,103.800040119743
Ahmad Ibrahim Primary School,1.43315271543517,103.832942401086
Ai Tong School,1.3605834338904,103.833020333986
Alexandra Primary School,1.29133439161334,103.824424680531
Anchor Green Primary School,1.39036998654612,103.887165375933
Anderson Primary School,1.38426429436736,103.841392081119
Ang Mo Kio Primary School,1.36932176584608,103.839630858752
Anglo-Chinese School (Junior),1.30935041274966,103.840950265464
Anglo-Chinese School (Primary),1.31837054523521,103.835609732354
Angsana Primary School,1.36360590588314,103.9389409004
Beacon Primary School,1.38394936211823,103.773632022975
Bedok Green Primary School,1.32344593287992,103.937878976352
Bendemeer Primary School,1.32181250780475,103.865404167629
Blangah Rise Primary School,1.27612047924037,103.808628535239
Boon Lay Garden Primary School,1.34317853793318,103.713280889452
Bukit Panjang Primary School,1.37362179302436,103.769374904025
Bukit Timah Primary School,1.3377498622588,103.766855344779
Bukit View Primary School,1.34586054788695,103.75366641455
Canberra Primary School,1.45125024371543,103.815858858929
Canossa Catholic Primary School,1.32664424544839,103.882227964852
Cantonment Primary School,1.27547252623201,103.839962631748
Casuarina Primary School,1.37246063927999,103.957020286115
Catholic High School (Primary),1.35438878373608,103.844210670766
Cedar Primary School,1.3355885014312,103.87562104944
Changkat Primary School,1.34023163951633,103.952080114035
CHIJ (Katong) Primary,1.30648535277087,103.911105620496
CHIJ (Kellock),1.275022722964,103.828157564896
CHIJ Our Lady of Good Counsel,1.35742952269615,103.864009397373
CHIJ Our Lady of the Nativity,1.37330297140128,103.897575728303
CHIJ Our Lady Queen of Peace,1.366603668561,103.767412204602
CHIJ Primary (Toa Payoh),1.33275264711587,103.841847263786
CHIJ St. Nicholas Girls' School (Primary Section),,
Chongfu School,1.43839562897006,103.839309173817
Chongzheng Primary School,1.35070739237744,103.951399541868
Chua Chu Kang Primary School,1.37775890093367,103.741832917421
Clementi Primary School,1.31506321827875,103.763144493687
Compassvale Primary School,1.39444529636566,103.897812229905
Concord Primary School,1.38000806197242,103.736225440727
Coral Primary School,,
Corporation Primary School,1.35099779872539,103.707593724342
Da Qiao Primary School,,
Damai Primary School,1.33546106800406,103.921270169613
Dazhong Primary School,1.3591797447277,103.74847210784
De La Salle School,1.3947078296399,103.743201812831
East Coast Primary School,,
East Spring Primary School,1.35268400746357,103.961676849165
East View Primary School,,
Edgefield Primary School,1.40009139510996,103.907847599114
Elias Park Primary School,1.37505696315817,103.945289416873
Endeavour Primary School,1.45403837499301,103.817436231731
Evergreen Primary School,1.44415332824735,103.794577787757
Fairfield Methodist School (Primary),1.30100441916733,103.785455606827
Farrer Park Primary School,1.31236867681371,103.850766402965
Fengshan Primary School,1.32980598760785,103.931710293058
Fernvale Primary School,1.39030227963797,103.874445458032
